chr	pos	gene_name	ensg_ids
1	1335276	"DVL1"	"ENSG00000107404.20"
1	1339650	"MIR6808"	"ENSG00000284372.1"
1	1352689	"MXRA8"	"ENSG00000162576.16"
1	1373730	"AURKAIP1"	"ENSG00000175756.13"
1	1378666	"NDUFB4P8"	"ENSG00000223663.2"
1	1385711	"CCNL2"	"ENSG00000221978.12"
1	1399520	"MRPL20-AS1"	"ENSG00000224870.7"
1	1401909	"MRPL20"	"ENSG00000242485.6"
1	1405460	"RN7SL657P"	"ENSG00000264293.2"
1	1409096	"AL391244.2"	"ENSG00000272455.1"
1	1418420	"ANKRD65"	"ENSG00000235098.8"
1	1420245	"AL391244.1"	"ENSG00000225905.1"
1	1426128	"TMEM88B"	"ENSG00000205116.3"
1	1430539	"LINC01770"	"ENSG00000225285.1"
1	1434861	"VWA1"	"ENSG00000179403.12"
1	1449689	"ATAD3C"	"ENSG00000215915.10"
1	1471765	"ATAD3B"	"ENSG00000160072.20"
1	1503250	"AL645728.2"	"ENSG00000284740.1"
1	1512162	"ATAD3A"	"ENSG00000197785.14"
1	1534778	"TMEM240"	"ENSG00000205090.9"
1	1541673	"SSU72"	"ENSG00000160075.12"
1	1574102	"AL645728.1"	"ENSG00000215014.5"
1	1583510	"AL691432.3"	"ENSG00000274481.1"
1	1598012	"FNDC10"	"ENSG00000228594.4"
1	1600314	"AL691432.4"	"ENSG00000286989.1"
1	1613758	"AL691432.2"	"ENSG00000272106.1"
1	1615415	"MIB2"	"ENSG00000197530.12"
1	1632163	"MMP23B"	"ENSG00000189409.14"
1	1635227	"CDK11B"	"ENSG00000248333.8"
1	1659325	"FO704657.1"	"ENSG00000272004.1"
1	1659529	"SLC35E2B"	"ENSG00000189339.12"
1	1671990	"AL691432.1"	"ENSG00000269737.2"
1	1699942	"MMP23A"	"ENSG00000215914.4"
1	1702379	"CDK11A"	"ENSG00000008128.23"
1	1702736	"AL031282.2"	"ENSG00000268575.1"
1	1724512	"AL031282.1"	"ENSG00000227775.3"
1	1724838	"SLC35E2A"	"ENSG00000215790.7"
1	1751232	"NADK"	"ENSG00000008130.15"
1	1785285	"GNB1"	"ENSG00000078369.18"
1	1891471	"AL109917.1"	"ENSG00000231050.1"
1	1915108	"CALML6"	"ENSG00000169885.10"
1	1917590	"TMEM52"	"ENSG00000178821.13"
1	1921951	"CFAP74"	"ENSG00000142609.18"
1	2013213	"AL391845.2"	"ENSG00000233542.2"
1	2019329	"GABRD"	"ENSG00000187730.9"
1	2049203	"AL391845.1"	"ENSG00000226969.1"
1	2050411	"PRKCZ"	"ENSG00000067606.17"
1	2141084	"AL590822.2"	"ENSG00000271806.1"
1	2181794	"PRKCZ-AS1"	"ENSG00000182873.5"
1	2184461	"FAAP20"	"ENSG00000162585.17"
1	2212523	"AL590822.1"	"ENSG00000234396.3"
1	2228319	"SKI"	"ENSG00000157933.10"
1	2315040	"AL590822.3"	"ENSG00000287356.1"
1	2321253	"MORN1"	"ENSG00000116151.14"
1	2326201	"AL589739.1"	"ENSG00000272161.1"
1	2350414	"AL513477.1"	"ENSG00000269896.2"
1	2363061	"AL513477.2"	"ENSG00000272420.1"
1	2391775	"RER1"	"ENSG00000157916.20"
1	2403964	"PEX10"	"ENSG00000157911.10"
1	2425980	"PLCH2"	"ENSG00000149527.18"
1	2492300	"AL139246.1"	"ENSG00000224387.1"
1	2493437	"AL139246.4"	"ENSG00000229393.1"
1	2508537	"PANK4"	"ENSG00000157881.15"
1	2528745	"HES5"	"ENSG00000197921.6"
1	2530064	"AL139246.5"	"ENSG00000272449.2"
1	2549920	"TNFRSF14-AS1"	"ENSG00000238164.6"
1	2555639	"TNFRSF14"	"ENSG00000157873.17"
1	2566410	"AL139246.2"	"ENSG00000225931.3"
1	2581560	"AL139246.3"	"ENSG00000228037.1"
1	2586491	"PRXL2B"	"ENSG00000157870.16"
1	2590639	"MMEL1"	"ENSG00000142606.16"
1	2632568	"MMEL1-AS1"	"ENSG00000237058.1"
1	2635976	"TTC34"	"ENSG00000215912.12"
1	2768091	"AC242022.2"	"ENSG00000285945.1"
1	2773603	"AC242022.1"	"ENSG00000283259.1"
1	2811850	"AL592464.2"	"ENSG00000233234.1"
1	2814056	"AL592464.3"	"ENSG00000287396.1"
1	2814432	"AL592464.1"	"ENSG00000231630.1"
1	2960658	"AL589702.1"	"ENSG00000284745.1"
1	3021467	"ACTRT2"	"ENSG00000169717.7"
1	3059615	"PRDM16-DT"	"ENSG00000177133.11"
1	3069168	"PRDM16"	"ENSG00000142611.17"
1	3127975	"MIR4251"	"ENSG00000283572.1"
1	3132927	"AL008733.1"	"ENSG00000226286.1"
1	3205988	"AL512383.1"	"ENSG00000279839.1"
1	3306636	"AL590438.1"	"ENSG00000272235.1"
1	3313052	"AL354743.2"	"ENSG00000287828.1"
1	3367815	"AL354743.1"	"ENSG00000286518.1"
1	3454665	"ARHGEF16"	"ENSG00000130762.15"
1	3487246	"AL512413.1"	"ENSG00000272088.1"
1	3487951	"MEGF6"	"ENSG00000162591.16"
1	3560695	"MIR551A"	"ENSG00000207776.1"
1	3623190	"AL513320.1"	"ENSG00000238260.1"
1	3625015	"TPRG1L"	"ENSG00000158109.15"
1	3630767	"WRAP73"	"ENSG00000116213.16"
1	3652516	"TP73"	"ENSG00000078900.15"
1	3658938	"AL136528.1"	"ENSG00000227589.1"
1	3712200	"AL136528.2"	"ENSG00000235131.1"
1	3735511	"TP73-AS1"	"ENSG00000227372.12"
1	3736943	"AL136528.3"	"ENSG00000276189.1"
1	3746460	"CCDC27"	"ENSG00000162592.10"
1	3772761	"SMIM1"	"ENSG00000235169.8"
1	3778559	"LRRC47"	"ENSG00000130764.10"
1	3782815	"RN7SL574P"	"ENSG00000266075.2"
1	3785008	"AL365330.1"	"ENSG00000272153.1"
1	3812086	"CEP104"	"ENSG00000116198.13"
1	3857267	"DFFB"	"ENSG00000169598.15"
1	3889125	"C1orf174"	"ENSG00000198912.11"
1	3900352	"LINC01134"	"ENSG00000236423.6"
1	3940486	"LINC01346"	"ENSG00000233304.7"
1	3944547	"LINC01345"	"ENSG00000226374.3"
1	3976133	"LINC02780"	"ENSG00000284668.2"
1	4012921	"AL805961.1"	"ENSG00000284703.1"
1	4175528	"EEF1DP6"	"ENSG00000229280.1"
1	4412027	"LINC01777"	"ENSG00000235054.4"
1	4479131	"AL355602.1"	"ENSG00000284694.1"
1	4551735	"Z98747.1"	"ENSG00000227169.2"
1	4571481	"LINC01646"	"ENSG00000232596.3"
1	4654609	"AJAP1"	"ENSG00000196581.11"
1	4730211	"Z98886.1"	"ENSG00000287586.1"
1	4963954	"BX005132.1"	"ENSG00000284739.1"
1	4973381	"LINC02781"	"ENSG00000284674.1"
1	5086459	"LINC02782"	"ENSG00000231510.1"
1	5301928	"AL139823.1"	"ENSG00000284616.1"
1	5478736	"Z98259.3"	"ENSG00000284692.2"
1	5480787	"Z98259.2"	"ENSG00000284666.1"
1	5492978	"Z98259.1"	"ENSG00000260972.1"
1	5554747	"Z97988.2"	"ENSG00000283356.1"
1	5561709	"AL365255.1"	"ENSG00000236948.2"
1	5564071	"Z97988.1"	"ENSG00000264341.1"
1	5862672	"MIR4689"	"ENSG00000264101.1"
1	5862811	"NPHP4"	"ENSG00000131697.18"
1	5990927	"KCNAB2"	"ENSG00000069424.15"
1	6101787	"CHD5"	"ENSG00000116254.18"
1	6159430	"AL031847.2"	"ENSG00000285629.1"
1	6185020	"RPL22"	"ENSG00000116251.11"
1	6204840	"AL031847.1"	"ENSG00000226944.1"
1	6205475	"RNF207"	"ENSG00000158286.13"
1	6221193	"ICMT"	"ENSG00000116237.16"
1	6234692	"LINC00337"	"ENSG00000225077.3"
1	6244179	"HES3"	"ENSG00000173673.8"
1	6247353	"GPR153"	"ENSG00000158292.7"
1	6264269	"ACOT7"	"ENSG00000097021.19"
1	6393555	"AL031848.2"	"ENSG00000271746.1"
1	6412418	"HES2"	"ENSG00000069812.11"
1	6424776	"ESPN"	"ENSG00000187017.17"
1	6429834	"MIR4252"	"ENSG00000265392.1"
1	6443034	"AL031848.1"	"ENSG00000231868.1"
1	6460786	"TNFRSF25"	"ENSG00000215788.10"
1	6466092	"PLEKHG5"	"ENSG00000171680.22"
1	6521347	"NOL9"	"ENSG00000162408.11"
1	6540854	"RNU6-731P"	"ENSG00000253022.1"
1	6547905	"AL591866.1"	"ENSG00000229519.2"
1	6555307	"TAS1R1"	"ENSG00000173662.21"
1	6579994	"ZBTB48"	"ENSG00000204859.13"
1	6590724	"KLHL21"	"ENSG00000162413.16"
1	6613731	"PHF13"	"ENSG00000116273.6"
1	6624866	"THAP3"	"ENSG00000041988.15"
1	6634168	"DNAJC11"	"ENSG00000007923.16"
1	6724637	"LINC01672"	"ENSG00000228750.7"
1	6767954	"AL591163.1"	"ENSG00000284744.1"
1	6783892	"CAMTA1-DT"	"ENSG00000237436.1"
1	6785454	"CAMTA1"	"ENSG00000171735.19"
1	6834333	"AL590128.1"	"ENSG00000227950.1"
1	7008376	"AL512330.1"	"ENSG00000237365.1"
1	7219360	"RNU1-8P"	"ENSG00000207056.1"
1	7368942	"CAMTA1-IT1"	"ENSG00000237402.1"
1	7382487	"CAMTA1-AS2"	"ENSG00000237728.2"
1	7441096	"CAMTA1-AS1"	"ENSG00000225126.1"
1	7693124	"AL359881.3"	"ENSG00000270171.1"
1	7698303	"AL359881.2"	"ENSG00000270035.1"
1	7700704	"AL359881.1"	"ENSG00000269978.1"
1	7771296	"VAMP3"	"ENSG00000049245.13"
1	7776383	"Z98884.2"	"ENSG00000269925.1"
1	7784320	"PER3"	"ENSG00000049246.14"
1	7810242	"Z98884.1"	"ENSG00000236266.1"
1	7843083	"UTS2"	"ENSG00000049247.13"
1	7915894	"TNFRSF9"	"ENSG00000049249.8"
1	7942372	"AL009183.1"	"ENSG00000270330.1"
1	7954291	"PARK7"	"ENSG00000116288.13"
1	7982881	"AL034417.1"	"ENSG00000200344.1"
1	7991134	"AL034417.5"	"ENSG00000284747.1"
1	7998187	"AL034417.4"	"ENSG00000284716.1"
1	8004404	"ERRFI1"	"ENSG00000116285.13"
1	8026738	"AL034417.3"	"ENSG00000238290.1"
1	8057245	"AL034417.2"	"ENSG00000232848.1"
1	8189824	"AL358876.1"	"ENSG00000229305.1"
1	8201518	"LINC01714"	"ENSG00000227634.3"
1	8206434	"RNU1-7P"	"ENSG00000200975.1"
1	8218190	"AL358876.2"	"ENSG00000233645.1"
1	8292157	"RNU6-991P"	"ENSG00000251977.1"
1	8317826	"SLC45A1"	"ENSG00000162426.14"
1	8328067	"AL356072.1"	"ENSG00000252254.1"
1	8352397	"RERE"	"ENSG00000142599.19"
1	8424645	"RERE-AS1"	"ENSG00000232912.6"
1	8511795	"AL096855.1"	"ENSG00000221083.1"
1	8512653	"AL096855.2"	"ENSG00000270282.1"
1	8750430	"RPL7P11"	"ENSG00000234619.1"
1	8786211	"RPL7P7"	"ENSG00000224315.2"
1	8796571	"AL357552.1"	"ENSG00000222511.2"
1	8798475	"AL357552.2"	"ENSG00000226545.1"
1	8805860	"AL357552.3"	"ENSG00000228423.2"
1	8831007	"RPL23AP19"	"ENSG00000229716.2"
1	8861000	"ENO1"	"ENSG00000074800.16"
1	8866502	"MIR6728"	"ENSG00000274258.1"
1	8878835	"ENO1-AS1"	"ENSG00000230679.1"
1	8883427	"RNU6-304P"	"ENSG00000201725.1"
1	8893409	"HMGN2P17"	"ENSG00000238249.2"
1	8907393	"AL139415.1"	"ENSG00000232208.2"
1	8909742	"AL139415.2"	"ENSG00000232663.2"
1	8945867	"CA6"	"ENSG00000131686.15"
1	8979576	"RN7SL451P"	"ENSG00000265141.2"
1	9003300	"SLC2A7"	"ENSG00000197241.3"
1	9035106	"SLC2A5"	"ENSG00000142583.18"
1	9082696	"AL158048.1"	"ENSG00000252404.1"
1	9100305	"GPR157"	"ENSG00000180758.12"
1	9148011	"MIR34AHG"	"ENSG00000228526.7"
1	9151668	"MIR34A"	"ENSG00000284357.1"
1	9182004	"LNCTAM34A"	"ENSG00000234546.4"
1	9234775	"H6PD"	"ENSG00000049239.12"
1	9292894	"SPSB1"	"ENSG00000171621.14"
1	9421098	"BX323043.1"	"ENSG00000284652.1"
1	9425094	"LINC02606"	"ENSG00000284693.1"
1	9437669	"RNA5SP40"	"ENSG00000252956.1"
1	9501092	"AL928921.1"	"ENSG00000235263.1"
1	9539465	"SLC25A33"	"ENSG00000171612.7"
1	9576427	"AL954705.1"	"ENSG00000231181.1"
1	9588911	"TMEM201"	"ENSG00000188807.13"
1	9651731	"PIK3CD"	"ENSG00000171608.16"
1	9652610	"PIK3CD-AS1"	"ENSG00000179840.5"
1	9660828	"AL691449.1"	"ENSG00000233268.3"
1	9672426	"PIK3CD-AS2"	"ENSG00000231789.2"
1	9728926	"CLSTN1"	"ENSG00000171603.18"
1	9780822	"MZT1P1"	"ENSG00000271264.1"
1	9826289	"AL357140.3"	"ENSG00000280113.2"
1	9848276	"CTNNBIP1"	"ENSG00000178585.15"
1	9848318	"AL357140.1"	"ENSG00000223989.1"
1	9900614	"AL357140.4"	"ENSG00000285701.1"
1	9922113	"LZIC"	"ENSG00000162441.12"
1	9942923	"AL357140.2"	"ENSG00000228150.1"
1	9943428	"NMNAT1"	"ENSG00000173614.14"
1	9947318	"RN7SKP269"	"ENSG00000202415.1"
1	9950572	"TMEM274P"	"ENSG00000283611.2"
1	9967381	"MIR5697"	"ENSG00000265521.1"
1	9983141	"AL603962.1"	"ENSG00000241326.1"
1	9997206	"RBP7"	"ENSG00000162444.12"
1	10032832	"UBE4B"	"ENSG00000130939.20"
1	10054445	"AL590639.1"	"ENSG00000224340.1"
1	10058671	"PGAM1P11"	"ENSG00000233623.2"
1	10163268	"RNU6-828P"	"ENSG00000201746.1"
1	10210805	"KIF1B"	"ENSG00000054523.17"
1	10227718	"AL358013.1"	"ENSG00000264881.1"
1	10298966	"RNU6-37P"	"ENSG00000199562.1"
1	10306465	"RN7SL731P"	"ENSG00000264501.2"
1	10381906	"AL139424.3"	"ENSG00000284735.1"
1	10395416	"AL139424.2"	"ENSG00000284642.1"
1	10398592	"PGD"	"ENSG00000142657.21"
1	10429881	"AL139424.1"	"ENSG00000271989.1"
1	10430102	"CENPS-CORT"	"ENSG00000251503.8"
1	10430433	"CENPS"	"ENSG00000175279.22"
1	10449719	"CORT"	"ENSG00000241563.3"
1	10456522	"DFFA"	"ENSG00000160049.12"
1	10458555	"AL354956.1"	"ENSG00000203469.2"
1	10472288	"PEX14"	"ENSG00000142655.13"
1	10612222	"AL139423.2"	"ENSG00000287727.1"
1	10616836	"RN7SL614P"	"ENSG00000243267.3"
1	10636604	"CASZ1"	"ENSG00000130940.15"
1	10639241	"AL139423.1"	"ENSG00000272078.1"
1	10895761	"HSPE1P24"	"ENSG00000225158.2"
1	10946471	"C1orf127"	"ENSG00000175262.14"
1	10990978	"CFL1P6"	"ENSG00000215785.2"
1	11012344	"TARDBP"	"ENSG00000120948.17"
1	11012662	"AL109811.3"	"ENSG00000277726.4"
1	11026523	"MASP2"	"ENSG00000009724.17"
1	11029659	"AL109811.2"	"ENSG00000271895.2"
1	11054584	"SRM"	"ENSG00000116649.10"
1	11066618	"EXOSC10"	"ENSG00000171824.14"
1	11068471	"AL109811.1"	"ENSG00000226849.1"
1	11099675	"EXOSC10-AS1"	"ENSG00000230337.1"
1	11106535	"MTOR"	"ENSG00000198793.13"
1	11143898	"MTOR-AS1"	"ENSG00000225602.5"
1	11152350	"RNU6-537P"	"ENSG00000253086.1"
1	11189355	"ANGPTL7"	"ENSG00000171819.5"
1	11226254	"RNU6-291P"	"ENSG00000207451.1"
1	11232963	"RPL39P6"	"ENSG00000238173.1"
1	11273206	"UBIAD1"	"ENSG00000120942.13"
1	11278616	"UBE2V2P3"	"ENSG00000238199.1"
1	11311734	"AL031291.1"	"ENSG00000284646.1"
1	11425257	"MTCYBP45"	"ENSG00000224338.2"
1	11479155	"DISP3"	"ENSG00000204624.8"
1	11500803	"AL590989.1"	"ENSG00000285833.1"
1	11609468	"LINC01647"	"ENSG00000235643.2"
1	11623558	"AL031731.1"	"ENSG00000284708.1"
1	11637018	"FBXO2"	"ENSG00000116661.11"
1	11654375	"FBXO44"	"ENSG00000132879.14"
1	11664200	"FBXO6"	"ENSG00000116663.11"
1	11674480	"MAD2L2"	"ENSG00000116670.15"
1	11691710	"DRAXIN"	"ENSG00000162490.7"
1	11736084	"AGTRAP"	"ENSG00000177674.16"
1	11761787	"C1orf167"	"ENSG00000215910.7"
1	11777077	"C1orf167-AS1"	"ENSG00000177553.6"
1	11785723	"MTHFR"	"ENSG00000177000.13"
1	11806096	"CLCN6"	"ENSG00000011021.23"
1	11843812	"AL021155.3"	"ENSG00000276470.1"
1	11845549	"AL021155.4"	"ENSG00000278852.1"
1	11845709	"NPPA"	"ENSG00000175206.10"
1	11847442	"AL021155.2"	"ENSG00000275915.1"
1	11857464	"NPPB"	"ENSG00000120937.9"
1	11877770	"AL021155.1"	"ENSG00000224904.1"
1	11907940	"AL021155.5"	"ENSG00000285646.2"
1	11908152	"RNU5E-1"	"ENSG00000199347.1"
1	11909808	"RNU5E-4P"	"ENSG00000201801.1"
1	11919591	"KIAA2013"	"ENSG00000116685.16"
1	11934205	"PLOD1"	"ENSG00000083444.17"
1	11979533	"AL096840.3"	"ENSG00000287384.1"
1	11980181	"MFN2"	"ENSG00000116688.17"
1	12017216	"AL096840.2"	"ENSG00000270914.1"
1	12019466	"MIIP"	"ENSG00000116691.11"
1	12024012	"AL096840.1"	"ENSG00000202461.1"
1	12029158	"MIR6729"	"ENSG00000276869.1"
1	12036740	"RN7SL649P"	"ENSG00000243539.3"
1	12063303	"TNFRSF8"	"ENSG00000120949.15"
1	12077881	"RNU6-777P"	"ENSG00000201135.1"
1	12080293	"RPL23AP89"	"ENSG00000227875.2"
1	12088441	"AL357835.1"	"ENSG00000285604.1"
1	12166943	"MIR7846"	"ENSG00000283789.1"
1	12166991	"TNFRSF1B"	"ENSG00000028137.19"
1	12191713	"MIR4632"	"ENSG00000263676.1"
1	12220794	"RPL10P17"	"ENSG00000225196.2"
1	12221148	"AL031276.1"	"ENSG00000252969.1"
1	12230030	"VPS13D"	"ENSG00000048707.15"
1	12507246	"SNORA59A"	"ENSG00000239149.1"
1	12527724	"LINC02766"	"ENSG00000229484.1"
1	12567910	"DHRS3"	"ENSG00000162496.9"
1	12569972	"RNU6ATAC18P"	"ENSG00000221340.1"
1	12578957	"MIR6730"	"ENSG00000276830.1"
1	12618900	"AC254633.1"	"ENSG00000272482.1"
1	12644547	"AADACL4"	"ENSG00000204518.2"
1	12692909	"AC244670.1"	"ENSG00000226166.2"
1	12716110	"AADACL3"	"ENSG00000188984.12"
1	12746200	"C1orf158"	"ENSG00000157330.10"
1	12774841	"PRAMEF12"	"ENSG00000116726.4"
1	12791397	"PRAMEF1"	"ENSG00000116721.9"
1	12822686	"LINC01784"	"ENSG00000228338.1"
1	12824605	"PRAMEF11"	"ENSG00000239810.3"
1	12838125	"PRAMEF30P"	"ENSG00000231103.2"
1	12847408	"HNRNPCL1"	"ENSG00000179172.9"
1	12857086	"PRAMEF2"	"ENSG00000120952.4"
1	12879212	"PRAMEF4"	"ENSG00000243073.4"
1	12892896	"PRAMEF10"	"ENSG00000187545.5"
1	12916610	"PRAMEF7"	"ENSG00000204510.5"
1	12922554	"RNU6-1072P"	"ENSG00000207434.1"
1	12926162	"PRAMEF29P"	"ENSG00000234064.1"
1	12938472	"PRAMEF6"	"ENSG00000232423.6"
1	13029339	"PRAMEF28P"	"ENSG00000274178.2"
1	13049476	"PRAMEF27"	"ENSG00000274764.5"
1	13060869	"HNRNPCL3"	"ENSG00000277058.2"
1	13068677	"PRAMEF25"	"ENSG00000229571.7"
1	13095179	"PRAMEF34P"	"ENSG00000277862.1"
1	13104403	"PRAMEF35P"	"ENSG00000236179.1"
1	13115488	"HNRNPCL2"	"ENSG00000275774.3"
1	13128818	"PRAMEF36P"	"ENSG00000229978.1"
1	13146981	"AC245056.1"	"ENSG00000233336.1"
1	13148905	"PRAMEF26"	"ENSG00000280267.4"
1	13164586	"HNRNPCL4"	"ENSG00000179412.10"
1	13172455	"PRAMEF9"	"ENSG00000204505.4"
1	13196188	"PRAMEF13"	"ENSG00000279169.3"
1	13222705	"PRAMEF18"	"ENSG00000279804.2"
1	13245863	"PRAMEF31P"	"ENSG00000250894.1"
1	13254212	"PRAMEF5"	"ENSG00000270601.4"
1	13273539	"PRAMEF32P"	"ENSG00000231219.1"
1	13279125	"RNU6-771P"	"ENSG00000207511.1"
1	13281035	"PRAMEF8"	"ENSG00000182330.10"
1	13303539	"PRAMEF33"	"ENSG00000237700.2"
1	13315581	"PRAMEF15"	"ENSG00000204501.7"
1	13324039	"AC243961.1"	"ENSG00000228229.2"
1	13341892	"PRAMEF14"	"ENSG00000204481.8"
1	13369067	"PRAMEF19"	"ENSG00000204480.8"
1	13389632	"PRAMEF17"	"ENSG00000204479.4"
1	13410450	"PRAMEF20"	"ENSG00000204478.9"
1	13474973	"LRRC38"	"ENSG00000162494.6"
1	13513220	"AL354712.1"	"ENSG00000259961.1"
1	13555001	"BRWD1P1"	"ENSG00000215909.3"
1	13583465	"PDPN"	"ENSG00000162493.16"
1	13623184	"RNA5SP41"	"ENSG00000222952.1"
1	13657311	"AL359771.1"	"ENSG00000237445.2"
1	13696070	"AL359771.2"	"ENSG00000253085.1"
1	13700198	"PRDM2"	"ENSG00000116731.22"
1	13892792	"KAZN"	"ENSG00000189337.17"
1	14124233	"RNU6-1265P"	"ENSG00000252151.1"
1	14221887	"AL357873.1"	"ENSG00000231606.2"
1	14338825	"KAZN-AS1"	"ENSG00000234593.3"
1	14692129	"TBCAP2"	"ENSG00000235829.1"
1	14774469	"AL031293.1"	"ENSG00000287756.1"
1	15111815	"TMEM51-AS1"	"ENSG00000175147.13"
1	15152532	"TMEM51"	"ENSG00000171729.14"
1	15164344	"C1orf195"	"ENSG00000204464.7"
1	15191828	"AL035405.1"	"ENSG00000215720.4"
1	15226373	"AL391094.1"	"ENSG00000278480.1"
1	15247272	"FHAD1"	"ENSG00000142621.19"
1	15326680	"FHAD1-AS1"	"ENSG00000233485.1"
